,/lpc/w83627dhgp/voltage/0,/lpc/w83627dhgp/voltage/1,/lpc/w83627dhgp/voltage/2,/lpc/w83627dhgp/voltage/3,/lpc/w83627dhgp/voltage/4,/lpc/w83627dhgp/voltage/5,/lpc/w83627dhgp/voltage/6,/lpc/w83627dhgp/voltage/7,/lpc/w83627dhgp/temperature/0,/lpc/w83627dhgp/temperature/1,/lpc/w83627dhgp/temperature/2,/lpc/w83627dhgp/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0
Time,"CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","CPU","Auxiliary","System","CPU Fan","CPU Core #1","CPU Core #2","CPU Total","CPU Core #1","CPU Core #2","CPU Core #1","CPU Core #2","Bus Speed","Memory","Used Memory","Available Memory","Temperature","Used Space"
05/20/2022 21:54:35,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2295.91846,3.125,6.25,4.6875,38,36,2926.197,2926.197,266.0179,55.5297661,2.08078384,1.66636658,40,64.6509857
05/20/2022 21:54:36,1.264,0.944000065,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2295.91846,3.125,4.6875,3.90625,38,36,2926.197,2926.197,266.0179,55.49373,2.07943344,1.667717,40,64.6509857
05/20/2022 21:54:37,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2295.91846,4.6875,6.25,5.46875,38,36,2926.197,2926.197,266.0179,55.5003433,2.0796814,1.667469,40,64.6509857
05/20/2022 21:54:38,1.264,0.944000065,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,46,35,2280.40552,6.25,6.25,6.25,42,41,2926.197,2926.197,266.0179,55.50686,2.07992554,1.66722488,40,64.6509857
05/20/2022 21:54:39,1.264,0.952,3.344,3.344,1.672,1.74400008,1.89600015,3.47200012,39,46,35,2280.40552,35.9375,34.375,35.15625,44,43,2926.197,2926.197,266.0179,55.6003151,2.08342743,1.663723,40,64.6509857
05/20/2022 21:54:40,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,46,35,2280.40552,51.5625,51.5625,51.5625,39,37,2926.197,2926.197,266.0179,55.6673,2.0859375,1.66121292,40,64.6509857
05/20/2022 21:54:42,1.264,0.944000065,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2280.40552,6.153846,4.615384,5.384612,39,36,2926.197,2926.197,266.0179,55.66292,2.08577347,1.661377,40,64.6509857
05/20/2022 21:54:43,1.24,0.944000065,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2280.40552,15.625,14.0625,14.84375,38,36,2926.197,2926.197,266.0179,55.6522331,2.085373,1.6617775,40,64.6509857
05/20/2022 21:54:43,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2280.40552,4.6875,0,2.34375,38,36,2926.197,2926.197,266.0179,55.65366,2.08542633,1.66172409,40,64.6509857
05/20/2022 21:54:45,1.24,0.944000065,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2295.91846,18.4615364,12.3076916,15.3846149,38,36,2926.197,2926.197,266.0179,55.65152,2.08534622,1.6618042,40,64.6509857
05/20/2022 21:54:46,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,39,45.5,35,2295.91846,9.230768,3.076923,6.153846,38,36,2926.197,2926.197,266.0179,55.6507072,2.0853157,1.66183472,40,64.6509857
05/20/2022 21:54:47,1.256,0.944000065,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,46,35,2280.40552,18.75,15.625,17.1875,38,36,2926.197,2926.197,266.0179,55.6493835,2.085266,1.66188431,40,64.6509857
05/20/2022 21:54:48,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,39,45.5,35,2280.40552,12.5,7.8125,10.15625,39,37,2926.197,2926.197,266.0179,55.6499939,2.085289,1.66186142,40,64.6509857
05/20/2022 21:54:49,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2280.40552,1.5625,1.5625,1.5625,38,36,2926.197,2926.197,266.0179,55.64867,2.08523941,1.661911,40,64.6509857
05/20/2022 21:54:50,1.248,0.952,3.328,3.328,1.68000007,1.74400008,1.89600015,3.47200012,39,46,35,2295.91846,23.4375,15.625,19.53125,40,37,2926.197,2926.197,266.0179,55.5974655,2.08332062,1.6638298,40,64.6509857
05/20/2022 21:54:51,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,46,35,2295.91846,6.25,7.8125,7.03125,38,36,2926.197,2926.197,266.0179,55.6349258,2.08472443,1.662426,40,64.6509857
05/20/2022 21:54:52,1.264,0.944000065,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,39,46,35,2295.91846,14.0625,15.625,14.84375,38,36,2926.197,2926.197,266.0179,55.63462,2.084713,1.66243744,40,64.6509857
05/20/2022 21:54:53,1.23200011,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,39,46.5,35,2280.40552,73.4375,65.625,69.53125,40,39,2926.197,2926.197,266.0179,55.6528435,2.08539581,1.66175461,40,64.6509857
05/20/2022 21:54:54,1.256,0.944000065,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,39,46,35,2280.40552,3.125,3.125,3.125,39,37,2926.197,2926.197,266.0179,55.6511154,2.085331,1.66181946,40,64.6509857
05/20/2022 21:54:55,1.248,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,39,46,35,2280.40552,27.6923065,27.6923065,27.6923065,39,37,2926.197,2926.197,266.0179,55.64083,2.08494568,1.66220474,40,64.6509857
05/20/2022 21:54:56,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.89600015,3.47200012,39,46,35,2295.91846,17.1875,10.9375,14.0625,39,37,2926.197,2926.197,266.0179,55.69489,2.08697128,1.66017914,40,64.6509857
05/20/2022 21:54:57,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.89600015,3.47200012,39,46,35,2295.91846,14.0625,17.1875,15.625,38,36,2926.197,2926.197,266.0179,55.7339821,2.08843613,1.65871429,40,64.6509857
05/20/2022 21:54:58,1.264,0.944000065,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2295.91846,7.8125,9.375,8.59375,38,36,2926.197,2926.197,266.0179,55.7359161,2.08850861,1.65864182,40,64.6523743
05/20/2022 21:54:59,1.264,0.952,3.344,3.36000013,1.68000007,1.74400008,1.904,3.47200012,39,45.5,35,2295.91846,4.615384,4.615384,4.615384,39,37,2926.197,2926.197,266.0179,55.73561,2.08849716,1.65865326,40,64.6523743
05/20/2022 21:55:00,1.264,0.952,3.344,3.344,1.68000007,1.74400008,1.904,3.47200012,39,46,35,2295.91846,21.875,23.4375,22.65625,40,37,2926.197,2926.197,266.0179,55.7341843,2.08844376,1.65870667,40,64.6523743
